#metaObject	lab	dateSubmitted	dateResubmitted	dateUnrestricted	composite
wgEncodeSydhTfbsK562Bdp1RawDataRep1	Harvard	2009-06-22	n/a	2010-03-22	wgEncodeSydhTfbs
wgEncodeSydhTfbsK562Bdp1RawDataRep2	Harvard	2009-06-22	n/a	2010-03-22	wgEncodeSydhTfbs
wgEncodeSydhTfbsK562Bdp1RawDataRep3	Harvard	2009-06-22	n/a	2010-03-22	wgEncodeSydhTfbs
wgEncodeSydhTfbsK562Bdp1StdAlnRep1	Harvard	2009-06-22	2010-06-11	2010-03-22	wgEncodeSydhTfbs
wgEncodeSydhTfbsK562Bdp1StdAlnRep2	Harvard	2009-06-22	2010-06-11	2010-03-22	wgEncodeSydhTfbs
wgEncodeSydhTfbsK562Bdp1StdAlnRep3	Harvard	2009-06-22	2010-06-11	2010-03-22	wgEncodeSydhTfbs
wgEncodeSydhTfbsK562Bdp1StdPk	Harvard	2011-06-03	n/a	2012-03-03	wgEncodeSydhTfbs
wgEncodeSydhTfbsK562Bdp1StdSig	Harvard	2010-12-02	n/a	2011-09-01	wgEncodeSydhTfbs
wgEncodeSydhTfbsK562Bhlhe40nb100IggrabAlnRep1	Stanford	2011-02-25	n/a	2011-11-25	wgEncodeSydhTfbs
wgEncodeSydhTfbsK562Bhlhe40nb100IggrabAlnRep2	Stanford	2011-02-25	n/a	2011-11-25	wgEncodeSydhTfbs
wgEncodeSydhTfbsK562Bhlhe40nb100IggrabPk	Stanford	2011-02-25	n/a	2011-11-25	wgEncodeSydhTfbs
wgEncodeSydhTfbsK562Bhlhe40nb100IggrabRawDataRep1	Stanford	2011-02-25	n/a	2011-11-25	wgEncodeSydhTfbs
wgEncodeSydhTfbsK562Bhlhe40nb100IggrabRawDataRep2	Stanford	2011-02-25	n/a	2011-11-25	wgEncodeSydhTfbs
wgEncodeSydhTfbsK562Bhlhe40nb100IggrabSig	Stanford	2011-02-25	n/a	2011-11-25	wgEncodeSydhTfbs
wgEncodeSydhTfbsK562Brf1RawDataRep1	Harvard	2009-06-22	n/a	2010-03-22	wgEncodeSydhTfbs
wgEncodeSydhTfbsK562Brf1RawDataRep2	Harvard	2009-06-22	n/a	2010-03-22	wgEncodeSydhTfbs
wgEncodeSydhTfbsK562Brf1RawDataRep3	Harvard	2009-06-22	n/a	2010-03-22	wgEncodeSydhTfbs
wgEncodeSydhTfbsK562Brf1StdAlnRep1	Harvard	2009-06-22	2010-06-11	2010-03-22	wgEncodeSydhTfbs
wgEncodeSydhTfbsK562Brf1StdAlnRep2	Harvard	2009-06-22	2010-06-11	2010-03-22	wgEncodeSydhTfbs
wgEncodeSydhTfbsK562Brf1StdAlnRep3	Harvard	2009-06-22	2010-06-11	2010-03-22	wgEncodeSydhTfbs
wgEncodeSydhTfbsK562Brf1StdPk	Harvard	2011-06-03	n/a	2012-03-03	wgEncodeSydhTfbs
wgEncodeSydhTfbsK562Brf1StdSig	Harvard	2010-12-02	n/a	2011-09-01	wgEncodeSydhTfbs
